Index.Antwort,LLM_Vollständige_Antwort
1.1,Antwort 1.1
2.2,Antwort 2.2
3.2,Antwort 3.2
4.2,Antwort 4.2
5.3,Antwort 5.3
6.4,Antwort 6.4
7.3,Antwort 7.3
8.2,Antwort 8.2
9.2,Antwort 9.2
10.2,Antwort 10.2
11.4,Antwort 11.4
12.2,Antwort 12.2
13.2,Antwort 13.2
14.3,Antwort 14.3
15.2,Antwort 15.2
16.4,Antwort 16.4
17.2,Antwort 17.2
18.1,Antwort 18.1
19.3,Antwort 19.3
20.2,Antwort 20.2
21.3,Antwort 21.3
22.1,Antwort 22.1
23.3,Antwort 23.3
24.2,Antwort 24.2
25.2,Antwort 25.2
26.2,Antwort 26.2
27.4,Antwort 27.4
28.2,Antwort 28.2
29.3,Antwort 29.3
30.1,Antwort 30.1
31.1,Antwort 31.1
32.4,Antwort 32.4
33.3,Antwort 33.3
34.3,Antwort 34.3
35.3,Antwort 35.3
36.4,Antwort 36.4
37.3,Antwort 37.3
33.2,Antwort 33.2
39.2,Antwort 39.2
40.1,Antwort 40.1
41.3,Antwort 41.3
42.4,Antwort 42.4
43.2,Antwort 43.2
44.2,Antwort 44.2
45.3,Antwort 45.3
46.3,Antwort 46.3
47.3,Antwort 47.3
48.1,Antwort 48.1
49.2,Antwort 49.2
50.2,Antwort 50.2
51.1,Antwort 51.1
52.3,Antwort 52.3
53.1,Antwort 53.1
54.3,Antwort 54.3
55.2,Antwort 55.2
56.4,Antwort 56.4
57.4,Antwort 57.4
58.2,Antwort 58.2
59.1,Antwort 59.1
60.3,Antwort 60.3
61.1,Antwort 61.1
62.2,Antwort 62.2
63.2,Antwort 63.2
64.3,Antwort 64.3
65.2,Antwort 65.2
66.1,Antwort 66.1
67.2,Antwort 67.2
68.4,Antwort 68.4
69.1,Antwort 69.1
70.3,Antwort 70.3
71.2,Antwort 71.2
72.2,Antwort 72.2
73.2,Antwort 73.2
74.4,Antwort 74.4
75.1,Antwort 75.1
76.4,Antwort 76.4
77.1,Antwort 77.1
78.3,Antwort 78.3
79.4,Antwort 79.4
80.2,Antwort 80.2
81.2,Antwort 81.2
82.1,Antwort 82.1
83.3,Antwort 83.3
84.2,Antwort 84.2
85.1,Antwort 85.1
86.3,Antwort 86.3
87.2,Antwort 87.2
88.4,Antwort 88.4
89.1,Antwort 89.1
90.3,Antwort 90.3
91.2,Antwort 91.2
92.2,Antwort 92.2
93.2,Antwort 93.2
94.1,Antwort 94.1
95.3,Antwort 95.3
96.1,Antwort 96.1
97.3,Antwort 97.3
98.2,Antwort 98.2
99.2,Antwort 99.2
100.4,Antwort 100.4
